,title,start,end,num,answer_date
72,고 장자연의 한맺힌 죽음의 진실을 밝혀주세요.,2018-02-26,2018-03-28,235796,2018-04-13
73,"연극인 이윤택씨의 상습 성폭행, 성폭력 피의사실에 대한 철저한 진상규명과 조사를 촉구합니다.",2018-02-17,2018-03-19,208522,2018-04-13
74,경제민주화,2018-02-08,2018-03-10,207772,2018-04-09
75,조두순 사건의 피해자 가족을 우롱하는 윤서인을 처벌해주십시오,2018-02-23,2018-03-25,242687,2018-03-23
76,일간베스트 저장소(일베) 사이트 폐쇄를 요청합니다,2018-01-25,2018-02-24,235167,2018-03-23
77,대전 아파트 단지내 횡단보도 교통사고..가해자의 만행과 도로교통법의 허점,2018-01-14,2018-02-13,219395,2018-03-14
78,포털사이트 ‘네이버’에 대한 철저한 수사가 필요합니다.,2018-01-18,2018-02-17,212992,2018-03-08
79,국회의원 급여를 최저시급으로 책정해 주세요,2018-01-15,2018-02-14,277674,2018-03-08
80,나경원 의원 평창올림픽 위원직을 파면시켜주세요,2018-01-20,2018-02-19,360905,2018-03-06
81,"김보름, 박지우 선수의 자격박탈과 적폐 빙상연맹의 엄중 처벌을 청원합니다",2018-02-19,2018-03-21,614127,2018-03-06
82,미성년자 성폭행 형량 올려주세요 종신형원합니다,2018-01-03,2018-02-02,233842,2018-03-02
83,초.중.고 학교 페미니즘교육 의무화,2018-01-06,2018-02-05,213219,2018-02-27
84,정형식 판사에 대해서 이 판결과 그 동안 판결에 대한 특별 감사를 청원합니다!!!,2018-02-05,2018-03-07,252969,2018-02-20
85,정부는 국민들에게 단 한번이라도 행복한 꿈을 꾸게 해본적 있습니까?,2017-12-28,2018-01-27,228295,2018-02-14
86,전안법 합리적으로 개정 또는 폐지해주세요.(소상공인 소비자 모두 죽는법안입니다.),2017-12-03,2018-01-02,255554,2018-01-25
87,"전안법. 18살, 미성년자에게 정부가 직접 찍어주는 범죄자 낙인!",2017-11-24,2017-12-24,211064,2018-01-25
88,"권역외상센터 (이국종 교수님) 추가적, 제도적, 환경적, 인력 지원",2017-11-17,2017-12-17,281985,2018-01-16
89,조두순 출소반대,2017-09-06,2017-12-05,615354,2017-12-06
90,'주취감형(술을 먹으면 형벌 감형)' 폐지를 건의(청원)합니다.,2017-11-04,2017-12-04,216774,2017-12-06
91,낙태죄 폐지와 자연유산 유도약(미프진) 합법화 및 도입을 부탁드립니다.,2017-09-30,2017-10-30,235372,2017-11-26
92,청소년이란 이유로 보호법을 악용하는 잔인무도한 청소년들이 늘어나고있습니다. 반드시 청소년 보호법은 폐지해야합니다.,2017-09-03,2017-11-02,296330,2017-09-25
